parameter,Mw01,Mw1,a1,b1_1,b1_2,b1_3,c1_1,c1_2,c1_3,d1,e1,sigma1
PGA,8.2,16,-0.032100 ,-0.005315 ,-0.005042 ,-0.005605 ,7.083000 ,7.118100 ,7.503500 ,0.011641 ,0.5,0.3761
PGV,8.2,16,-0.032500 ,-0.002654 ,-0.002408 ,-0.003451 ,5.695200 ,5.602600 ,6.003000 ,0.002266 ,0.5,0.3399
0.05,8.2,16,-0.032100 ,-0.005912 ,-0.005674 ,-0.006231 ,7.215100 ,7.275900 ,7.680100 ,0.012812 ,0.5,0.3938
0.06,8.2,16,-0.032100 ,-0.006097 ,-0.005864 ,-0.006405 ,7.285200 ,7.352300 ,7.750400 ,0.014508 ,0.5,0.4039
0.07,8.2,16,-0.032100 ,-0.006142 ,-0.005967 ,-0.006507 ,7.339700 ,7.415200 ,7.812700 ,0.015574 ,0.5,0.4149
0.08,8.2,16,-0.032300 ,-0.006104 ,-0.006033 ,-0.006594 ,7.412200 ,7.492900 ,7.893800 ,0.016465 ,0.5,0.4219
0.09,8.2,16,-0.032500 ,-0.006112 ,-0.006079 ,-0.006689 ,7.481700 ,7.564900 ,7.964900 ,0.017390 ,0.5,0.4259
0.1,8.2,16,-0.032700 ,-0.006116 ,-0.006061 ,-0.006686 ,7.539600 ,7.621400 ,8.021900 ,0.018438 ,0.5,0.4266
0.11,8.2,16,-0.032400 ,-0.005998 ,-0.005971 ,-0.006576 ,7.507200 ,7.594700 ,7.996000 ,0.017396 ,0.5,0.4256
0.12,8.2,16,-0.032200 ,-0.005896 ,-0.005878 ,-0.006448 ,7.492000 ,7.583700 ,7.978200 ,0.016457 ,0.5,0.4243
0.13,8.2,16,-0.032100 ,-0.005786 ,-0.005757 ,-0.006331 ,7.478800 ,7.564500 ,7.964400 ,0.015607 ,0.5,0.4229
0.15,8.2,16,-0.032100 ,-0.005564 ,-0.005579 ,-0.006078 ,7.463000 ,7.547100 ,7.936000 ,0.014118 ,0.5,0.4193
0.2,8.2,16,-0.032100 ,-0.005151 ,-0.005027 ,-0.005476 ,7.430700 ,7.478800 ,7.871900 ,0.011273 ,0.5,0.4152
0.22,8.2,16,-0.032200 ,-0.005000 ,-0.004827 ,-0.005204 ,7.413900 ,7.446100 ,7.831100 ,0.010380 ,0.5,0.413
0.25,8.2,16,-0.032100 ,-0.004836 ,-0.004519 ,-0.004907 ,7.373600 ,7.372800 ,7.752100 ,0.009225 ,0.5,0.4089
0.3,8.2,16,-0.032100 ,-0.004543 ,-0.004095 ,-0.004621 ,7.292400 ,7.279700 ,7.665600 ,0.007670 ,0.5,0.4063
0.35,8.2,16,-0.032100 ,-0.004379 ,-0.003717 ,-0.004305 ,7.241700 ,7.183200 ,7.579600 ,0.006448 ,0.5,0.4043
0.4,8.2,16,-0.032100 ,-0.004135 ,-0.003342 ,-0.003989 ,7.178500 ,7.088300 ,7.488900 ,0.005464 ,0.5,0.4029
0.45,8.2,16,-0.032100 ,-0.003973 ,-0.003063 ,-0.003934 ,7.120200 ,7.010000 ,7.428700 ,0.004657 ,0.5,0.4033
0.5,8.2,16,-0.032100 ,-0.003767 ,-0.002832 ,-0.003783 ,7.060400 ,6.943900 ,7.361500 ,0.003986 ,0.5,0.4019
0.6,8.2,16,-0.032100 ,-0.003389 ,-0.002450 ,-0.003351 ,6.935700 ,6.816600 ,7.216100 ,0.002946 ,0.5,0.4032
0.7,8.2,16,-0.032100 ,-0.002981 ,-0.002059 ,-0.002988 ,6.827200 ,6.695700 ,7.085400 ,0.002193 ,0.5,0.4038
0.8,8.2,16,-0.032100 ,-0.002640 ,-0.001692 ,-0.002587 ,6.732500 ,6.586400 ,6.965900 ,0.001641 ,0.5,0.4053
0.9,8.2,16,-0.032500 ,-0.002341 ,-0.001445 ,-0.002421 ,6.684500 ,6.534900 ,6.921100 ,0.001234 ,0.5,0.4085
1,8.2,16,-0.032700 ,-0.002138 ,-0.001322 ,-0.002331 ,6.628400 ,6.474800 ,6.860500 ,0.000936 ,0.5,0.4091
1.1,8.2,16,-0.033100 ,-0.001912 ,-0.001140 ,-0.002194 ,6.597100 ,6.438300 ,6.830400 ,0.000723 ,0.5,0.4074
1.2,8.2,16,-0.033700 ,-0.001790 ,-0.001053 ,-0.002213 ,6.591200 ,6.420000 ,6.822400 ,0.000576 ,0.5,0.4061
1.3,8.2,16,-0.033900 ,-0.001671 ,-0.000979 ,-0.002159 ,6.558800 ,6.384800 ,6.782700 ,0.000482 ,0.5,0.4046
1.5,8.2,16,-0.034700 ,-0.001516 ,-0.000811 ,-0.002020 ,6.541900 ,6.351000 ,6.754000 ,0.000417 ,0.5,0.4035
1.7,8.2,16,-0.035200 ,-0.001526 ,-0.000714 ,-0.001909 ,6.520900 ,6.301100 ,6.700400 ,0.000471 ,0.5,0.4007
2,8.2,16,-0.035900 ,-0.001604 ,-0.000673 ,-0.001576 ,6.498200 ,6.261700 ,6.608700 ,0.000703 ,0.5,0.3927
2.2,8.2,16,-0.036500 ,-0.001516 ,-0.000610 ,-0.001349 ,6.492000 ,6.246300 ,6.576600 ,0.000702 ,0.5,0.3883
2.5,8.2,16,-0.037500 ,-0.001457 ,-0.000586 ,-0.001266 ,6.496400 ,6.248500 ,6.566700 ,0.000826 ,0.5,0.3831
3,8.2,16,-0.038200 ,-0.001345 ,-0.000505 ,-0.001105 ,6.441400 ,6.185800 ,6.485800 ,0.001202 ,0.5,0.3775
3.5,8.2,16,-0.038400 ,-0.001270 ,-0.000512 ,-0.001000 ,6.346400 ,6.084900 ,6.368100 ,0.001647 ,0.5,0.3713
4,8.2,16,-0.038500 ,-0.001075 ,-0.000610 ,-0.001005 ,6.245900 ,6.003500 ,6.272700 ,0.002087 ,0.5,0.3646
4.5,8.2,16,-0.038900 ,-0.000904 ,-0.000605 ,-0.001061 ,6.186800 ,5.942300 ,6.214500 ,0.002489 ,0.5,0.3603
5,8.2,16,-0.039300 ,-0.000739 ,-0.000564 ,-0.001155 ,6.146600 ,5.896000 ,6.181700 ,0.002841 ,0.5,0.3552
5.5,8.2,16,-0.039800 ,-0.000570 ,-0.000626 ,-0.001254 ,6.108400 ,5.872500 ,6.156600 ,0.003139 ,0.5,0.3494
6,8.2,16,-0.040200 ,-0.000456 ,-0.000702 ,-0.001317 ,6.092000 ,5.853600 ,6.125700 ,0.003384 ,0.5,0.3428
6.5,8.2,16,-0.040500 ,-0.000308 ,-0.000785 ,-0.001361 ,6.063600 ,5.821800 ,6.077800 ,0.003580 ,0.5,0.3366
7,8.2,16,-0.041000 ,-0.000195 ,-0.000856 ,-0.001392 ,6.058600 ,5.819700 ,6.065200 ,0.003728 ,0.5,0.33
7.5,8.2,16,-0.041200 ,-0.000109 ,-0.000880 ,-0.001413 ,6.036700 ,5.797100 ,6.038800 ,0.003833 ,0.5,0.3242
8,8.2,16,-0.041700 ,-0.000100 ,-0.000908 ,-0.001466 ,6.037800 ,5.788500 ,6.038100 ,0.003898 ,0.5,0.3185
8.5,8.2,16,-0.041900 ,-0.000100 ,-0.000940 ,-0.001496 ,6.023800 ,5.767400 ,6.018000 ,0.003927 ,0.5,0.313
9,8.2,16,-0.042000 ,-0.000100 ,-0.001012 ,-0.001488 ,5.997200 ,5.746300 ,5.988100 ,0.003924 ,0.5,0.309
9.5,8.2,16,-0.042300 ,-0.000100 ,-0.001098 ,-0.001485 ,5.988000 ,5.750700 ,5.980700 ,0.003890 ,0.5,0.3047
10,8.2,16,-0.042700 ,-0.000100 ,-0.001179 ,-0.001498 ,5.982000 ,5.759500 ,5.986900 ,0.003828 ,0.5,0.3007
