site_code,mw,fault_dist,eq_location_type_id,fre,Basemodel,pre_DNN,Final
CHB002,5.600000,198.173400,2,PGA,0.334123,0.384149,0.718272
CHB002,5.600000,198.173400,2,PGV,-0.689969,0.344028,-0.345941
CHB002,5.600000,198.173400,2,0.05,0.365119,0.534258,0.899377
CHB002,5.600000,198.173400,2,0.06,0.401619,0.500200,0.901819
CHB002,5.600000,198.173400,2,0.07,0.442700,0.542756,0.985456
CHB002,5.600000,198.173400,2,0.08,0.484516,0.521205,1.005722
CHB002,5.600000,198.173400,2,0.09,0.524555,0.568745,1.093300
CHB002,5.600000,198.173400,2,0.1,0.561619,0.536881,1.098500
CHB002,5.600000,198.173400,2,0.11,0.586566,0.560358,1.146924
CHB002,5.600000,198.173400,2,0.12,0.616860,0.570986,1.187846
CHB002,5.600000,198.173400,2,0.13,0.633573,0.616137,1.249710
CHB002,5.600000,198.173400,2,0.15,0.653414,0.623471,1.276885
CHB002,5.600000,198.173400,2,0.2,0.698287,0.555348,1.253634
CHB002,5.600000,198.173400,2,0.22,0.695599,0.505137,1.200736
CHB002,5.600000,198.173400,2,0.25,0.695701,0.485936,1.181637
CHB002,5.600000,198.173400,2,0.3,0.688720,0.511136,1.199856
CHB002,5.600000,198.173400,2,0.35,0.668783,0.459411,1.128194
CHB002,5.600000,198.173400,2,0.4,0.649533,0.401342,1.050875
CHB002,5.600000,198.173400,2,0.45,0.627621,0.395637,1.023258
CHB002,5.600000,198.173400,2,0.5,0.608215,0.424646,1.032861
CHB002,5.600000,198.173400,2,0.6,0.558039,0.325811,0.883850
CHB002,5.600000,198.173400,2,0.7,0.515658,0.250082,0.765740
CHB002,5.600000,198.173400,2,0.8,0.479846,0.203763,0.683609
CHB002,5.600000,198.173400,2,0.9,0.434591,0.210639,0.645230
CHB002,5.600000,198.173400,2,1,0.377645,0.225916,0.603561
CHB002,5.600000,198.173400,2,1.1,0.334242,0.206369,0.540612
CHB002,5.600000,198.173400,2,1.2,0.268490,0.265817,0.534307
CHB002,5.600000,198.173400,2,1.3,0.226453,0.232913,0.459366
CHB002,5.600000,198.173400,2,1.5,0.139508,0.239418,0.378926
CHB002,5.600000,198.173400,2,1.7,0.054676,0.282405,0.337081
CHB002,5.600000,198.173400,2,2,-0.052631,0.210382,0.157751
CHB002,5.600000,198.173400,2,2.2,-0.120441,0.218800,0.098359
CHB002,5.600000,198.173400,2,2.5,-0.221816,0.219573,-0.002242
CHB002,5.600000,198.173400,2,3,-0.344694,0.127210,-0.217484
CHB002,5.600000,198.173400,2,3.5,-0.469226,0.114224,-0.355002
CHB002,5.600000,198.173400,2,4,-0.581467,0.159426,-0.422041
CHB002,5.600000,198.173400,2,4.5,-0.685492,0.101435,-0.584057
CHB002,5.600000,198.173400,2,5,-0.767414,0.132511,-0.634903
CHB002,5.600000,198.173400,2,5.5,-0.857689,0.088605,-0.769084
CHB002,5.600000,198.173400,2,6,-0.935249,0.054565,-0.880684
CHB002,5.600000,198.173400,2,6.5,-1.016214,0.074037,-0.942176
CHB002,5.600000,198.173400,2,7,-1.086666,0.075205,-1.011462
CHB002,5.600000,198.173400,2,7.5,-1.135798,0.040150,-1.095648
CHB002,5.600000,198.173400,2,8,-1.204116,0.072826,-1.131289
CHB002,5.600000,198.173400,2,8.5,-1.253229,0.032021,-1.221208
CHB002,5.600000,198.173400,2,9,-1.299409,0.026787,-1.272622
CHB002,5.600000,198.173400,2,9.5,-1.344454,0.020069,-1.324385
CHB002,5.600000,198.173400,2,10,-1.394885,0.056923,-1.337962
CHB003,5.600000,185.925300,2,PGA,0.422564,0.788567,1.211131
CHB003,5.600000,185.925300,2,PGV,-0.632974,0.477362,-0.155611
CHB003,5.600000,185.925300,2,0.05,0.461202,0.885370,1.346572
CHB003,5.600000,185.925300,2,0.06,0.499887,0.781739,1.281626
CHB003,5.600000,185.925300,2,0.07,0.542142,0.750684,1.292826
CHB003,5.600000,185.925300,2,0.08,0.584693,0.754875,1.339568
CHB003,5.600000,185.925300,2,0.09,0.625220,0.808538,1.433758
CHB003,5.600000,185.925300,2,0.1,0.661978,0.738260,1.400238
CHB003,5.600000,185.925300,2,0.11,0.685907,0.754581,1.440488
CHB003,5.600000,185.925300,2,0.12,0.715139,0.759256,1.474395
CHB003,5.600000,185.925300,2,0.13,0.730440,0.825542,1.555982
CHB003,5.600000,185.925300,2,0.15,0.748224,0.839744,1.587968
CHB003,5.600000,185.925300,2,0.2,0.786575,0.870477,1.657052
CHB003,5.600000,185.925300,2,0.22,0.781513,0.830960,1.612473
CHB003,5.600000,185.925300,2,0.25,0.777942,0.880881,1.658822
CHB003,5.600000,185.925300,2,0.3,0.765902,0.822695,1.588597
CHB003,5.600000,185.925300,2,0.35,0.741440,0.766147,1.507588
CHB003,5.600000,185.925300,2,0.4,0.717684,0.648435,1.366119
CHB003,5.600000,185.925300,2,0.45,0.692426,0.601943,1.294369
CHB003,5.600000,185.925300,2,0.5,0.670250,0.659403,1.329652
CHB003,5.600000,185.925300,2,0.6,0.615488,0.530540,1.146028
CHB003,5.600000,185.925300,2,0.7,0.568385,0.449382,1.017767
CHB003,5.600000,185.925300,2,0.8,0.528128,0.430583,0.958711
CHB003,5.600000,185.925300,2,0.9,0.479885,0.266849,0.746734
CHB003,5.600000,185.925300,2,1,0.421459,0.315029,0.736488
CHB003,5.600000,185.925300,2,1.1,0.375846,0.316052,0.691898
CHB003,5.600000,185.925300,2,1.2,0.309042,0.370592,0.679634
CHB003,5.600000,185.925300,2,1.3,0.266107,0.263347,0.529454
CHB003,5.600000,185.925300,2,1.5,0.177110,0.290748,0.467858
CHB003,5.600000,185.925300,2,1.7,0.091085,0.291865,0.382950
CHB003,5.600000,185.925300,2,2,-0.016745,0.091899,0.075154
CHB003,5.600000,185.925300,2,2.2,-0.085326,0.269160,0.183834
CHB003,5.600000,185.925300,2,2.5,-0.187006,0.345852,0.158846
CHB003,5.600000,185.925300,2,3,-0.310911,0.211292,-0.099619
CHB003,5.600000,185.925300,2,3.5,-0.435397,0.156168,-0.279228
CHB003,5.600000,185.925300,2,4,-0.546478,0.243260,-0.303218
CHB003,5.600000,185.925300,2,4.5,-0.650600,0.148078,-0.502523
CHB003,5.600000,185.925300,2,5,-0.733055,0.147504,-0.585551
CHB003,5.600000,185.925300,2,5.5,-0.822598,0.129881,-0.692716
CHB003,5.600000,185.925300,2,6,-0.899249,0.085056,-0.814193
CHB003,5.600000,185.925300,2,6.5,-0.979214,0.141771,-0.837444
CHB003,5.600000,185.925300,2,7,-1.048811,0.147637,-0.901174
CHB003,5.600000,185.925300,2,7.5,-1.097657,0.220115,-0.877543
CHB003,5.600000,185.925300,2,8,-1.165638,0.168560,-0.997078
CHB003,5.600000,185.925300,2,8.5,-1.214362,0.176740,-1.037621
CHB003,5.600000,185.925300,2,9,-1.259660,0.104928,-1.154732
CHB003,5.600000,185.925300,2,9.5,-1.303648,0.166997,-1.136652
CHB003,5.600000,185.925300,2,10,-1.353082,0.180454,-1.172628
CHB004,5.600000,147.362400,2,PGA,0.713652,0.250200,0.963852
CHB004,5.600000,147.362400,2,PGV,-0.440029,0.098816,-0.341213
CHB004,5.600000,147.362400,2,0.05,0.776250,0.116158,0.892407
CHB004,5.600000,147.362400,2,0.06,0.821671,0.121627,0.943298
CHB004,5.600000,147.362400,2,0.07,0.867531,0.185998,1.053529
CHB004,5.600000,147.362400,2,0.08,0.912322,0.156065,1.068388
CHB004,5.600000,147.362400,2,0.09,0.954308,0.195787,1.150095
CHB004,5.600000,147.362400,2,0.1,0.990018,0.197847,1.187865
CHB004,5.600000,147.362400,2,0.11,1.010828,0.202199,1.213027
CHB004,5.600000,147.362400,2,0.12,1.036793,0.228650,1.265443
CHB004,5.600000,147.362400,2,0.13,1.047719,0.198426,1.246145
CHB004,5.600000,147.362400,2,0.15,1.059153,0.159521,1.218674
CHB004,5.600000,147.362400,2,0.2,1.077214,0.177929,1.255143
CHB004,5.600000,147.362400,2,0.22,1.064758,0.166344,1.231102
CHB004,5.600000,147.362400,2,0.25,1.049723,0.153547,1.203270
CHB004,5.600000,147.362400,2,0.3,1.021895,0.141521,1.163416
CHB004,5.600000,147.362400,2,0.35,0.983304,0.069877,1.053181
CHB004,5.600000,147.362400,2,0.4,0.945449,0.104820,1.050268
CHB004,5.600000,147.362400,2,0.45,0.909732,0.093579,1.003311
CHB004,5.600000,147.362400,2,0.5,0.878898,0.141016,1.019913
CHB004,5.600000,147.362400,2,0.6,0.809796,0.108832,0.918628
CHB004,5.600000,147.362400,2,0.7,0.747899,0.091297,0.839197
CHB004,5.600000,147.362400,2,0.8,0.693699,0.102201,0.795901
CHB004,5.600000,147.362400,2,0.9,0.636086,0.093422,0.729508
CHB004,5.600000,147.362400,2,1,0.573031,0.086956,0.659987
CHB004,5.600000,147.362400,2,1.1,0.520482,0.072422,0.592904
CHB004,5.600000,147.362400,2,1.2,0.450379,0.110041,0.560420
CHB004,5.600000,147.362400,2,1.3,0.404626,0.111505,0.516131
CHB004,5.600000,147.362400,2,1.5,0.309176,0.123231,0.432407
CHB004,5.600000,147.362400,2,1.7,0.219390,0.088071,0.307460
CHB004,5.600000,147.362400,2,2,0.109889,0.138819,0.248709
CHB004,5.600000,147.362400,2,2.2,0.038879,0.106294,0.145173
CHB004,5.600000,147.362400,2,2.5,-0.063774,0.143862,0.080087
CHB004,5.600000,147.362400,2,3,-0.190946,0.159550,-0.031396
CHB004,5.600000,147.362400,2,3.5,-0.315332,0.205412,-0.109920
CHB004,5.600000,147.362400,2,4,-0.422801,0.194781,-0.228021
CHB004,5.600000,147.362400,2,4.5,-0.527269,0.208260,-0.319008
CHB004,5.600000,147.362400,2,5,-0.611438,0.198807,-0.412631
CHB004,5.600000,147.362400,2,5.5,-0.698702,0.178727,-0.519974
CHB004,5.600000,147.362400,2,6,-0.772515,0.178960,-0.593554
CHB004,5.600000,147.362400,2,6.5,-0.849353,0.127314,-0.722039
CHB004,5.600000,147.362400,2,7,-0.916266,0.159131,-0.757135
CHB004,5.600000,147.362400,2,7.5,-0.964227,0.130795,-0.833432
CHB004,5.600000,147.362400,2,8,-1.031152,0.106852,-0.924300
CHB004,5.600000,147.362400,2,8.5,-1.078653,0.065706,-1.012947
CHB004,5.600000,147.362400,2,9,-1.121174,0.101777,-1.019397
CHB004,5.600000,147.362400,2,9.5,-1.161833,0.056024,-1.105808
CHB004,5.600000,147.362400,2,10,-1.208119,0.057308,-1.150811
